strain	condition	n_plated	n_unhatched	frac_unhatched
JU1793	HT115	114	3	0.02631578947
JU2466	HT115	168	3	0.01785714286
wsz197	HT115	123	0	0
wsz198	HT115	161	6	0.03726708075
wsz199	HT115	172	0	0
wsz200	HT115	165	0	0
wsz201	HT115	199	1	0.005025125628
wsz202	HT115	136	0	0
JU1793	pos-1	263	8	0.03041825095
JU2466	pos-1	252	220	0.873015873
wsz197	pos-1	290	1	0.003448275862
wsz198	pos-1	347	0	0
wsz199	pos-1	323	3	0.009287925697
wsz200	pos-1	313	110	0.3514376997
wsz201	pos-1	360	44	0.1222222222
wsz202	pos-1	337	0	0