Experiment_Date	Strain	Replicate 	Condition 	Plated_Embryos	Unhatched_Embryos	Genotype
2025-03-06	JU1793 	1	HT115 	103	0	
2025-03-06	JU1793 	2	HT115 	84	0	
2025-03-06	JU1793 	3	HT115	106	1	
2025-03-06	JU1793 	4	HT115	68	0	
2025-03-06	JU1793 	5	HT115	86	2	
2025-03-06	JU1793 	6	HT115	90	0	
2025-03-06	JU2466	1	HT115 	50	0	
2025-03-06	JU2466	2	HT115 	95	3	
2025-03-06	JU2466	3	HT115	79	0	
2025-03-06	JU2466	4	HT115	10	0	
2025-03-06	JU2466	5	HT115	57	0	
2025-03-06	JU2466	6	HT115	77	1	
2025-03-06	wsz153	1	HT115	77	2	
2025-03-06	wsz153	2	HT115	67	0	
2025-03-06	wsz153	3	HT115	123	1	
2025-03-06	wsz153	4	HT115	84	0	
2025-03-06	wsz153	5	HT115	72	0	
2025-03-06	wsz153	6	HT115	78	0	
2025-03-06	wsz159	1	HT115	69	0	
2025-03-06	wsz159	2	HT115	59	0	
2025-03-06	wsz159	3	HT115	58	1	
2025-03-06	wsz159	4	HT115	53	1	
2025-03-06	wsz159	5	HT115	38	0	
2025-03-06	wsz159	6	HT115	NA	NA	
2025-03-06	JU1793 	1	pos-1	64	34	
2025-03-06	JU1793 	2	pos-1	67	38	
2025-03-06	JU1793 	3	pos-1	63	36	
2025-03-06	JU1793 	4	pos-1	67	32	
2025-03-06	JU1793 	5	pos-1	71	34	
2025-03-06	JU1793 	6	pos-1	70	38	
2025-03-06	JU2466	1	pos-1	90	90	
2025-03-06	JU2466	2	pos-1	95	95	
2025-03-06	JU2466	3	pos-1	81	81	
2025-03-06	JU2466	4	pos-1	88	88	
2025-03-06	JU2466	5	pos-1	93	93	
2025-03-06	JU2466	6	pos-1	97	97	
2025-03-06	wsz153	1	pos-1	69	68	
2025-03-06	wsz153	2	pos-1	64	64	
2025-03-06	wsz153	3	pos-1	79	79	
2025-03-06	wsz153	4	pos-1	71	71	
2025-03-06	wsz153	5	pos-1	85	85	
2025-03-06	wsz153	6	pos-1	81	81	
2025-03-06	wsz158	6	pos-1	93	58	
2025-03-06	wsz159	1	pos-1	58	46	
2025-03-06	wsz159	2	pos-1	67	37	
2025-03-06	wsz159	3	pos-1	88	44	
2025-03-06	wsz159	4	pos-1	75	69	
2025-03-06	wsz159	5	pos-1	74	63	
2025-03-06	wsz159	6	pos-1	NA	NA	
2025-07-10	JU1793 	1	HT115	139	0	
2025-07-10	JU2466	1	HT115	158	0	
2025-07-10	wsz153	1	HT115	233	0	
2025-07-10	wsz167	1	HT115	197	2	
2025-07-10	JU1793 	1	pos-1	165	2	
2025-07-10	JU2466	1	pos-1	175	141	
2025-07-10	wsz153	1	pos-1	219	128	
2025-07-10	wsz167	1	pos-1	175	61	
2025-08-29	JU1793	2	HT115	148	2	
2025-08-29	JU1793	3	HT115	172	0	
2025-08-29	JU2466	1	HT115	186	2	
2025-08-29	JU2466	2	HT115	219	1	
2025-08-29	JU2466	3	HT115	201	2	
2025-08-29	wsz176	1	HT115	127	2	
2025-08-29	wsz176	2	HT115	170	2	
2025-08-29	wsz176	3	HT115	171	1	
2025-08-29	JU1793	1	pos-1	183	8	
2025-08-29	JU1793	2	pos-1	188	1	
2025-08-29	JU1793	3	pos-1	200	0	
2025-08-29	JU2466	1	pos-1	195	193	
2025-08-29	JU2466	2	pos-1	219	218	
2025-08-29	JU2466	3	pos-1	167	165	
2025-08-29	wsz176	1	pos-1	197	72	
2025-08-29	wsz176	2	pos-1	173	67	
2025-08-29	wsz176	3	pos-1	189	87	
2025-11-19	JU1793	1	HT115	329	2	
2025-11-19	JU2466	1	HT115	270	0	
2025-11-19	wsz153	1	HT115	230	2	
2025-11-19	wsz176	1	HT115	295	6	
2025-11-19	wsz191	1	HT115	282	0	
2025-11-19	wsz196	1	HT115	311	2	
2025-11-19	JU1793	1	pos-1	179	1	
2025-11-19	JU2466	1	pos-1	230	148	
2025-11-19	wsz153	1	pos-1	218	133	
2025-11-19	wsz176	1	pos-1	272	113	
2025-11-19	wsz191	1	pos-1	252	52	
2025-11-19	wsz196	1	pos-1	261	7	
2025-12-10	JU1793	1	HT115	114	3	
2025-12-10	JU2466	1	HT115	168	3	
2025-12-10	wsz197	1	HT115	123	0	
2025-12-10	wsz198	1	HT115	161	6	
2025-12-10	wsz200	1	HT115	165	0	
2025-12-10	wsz202	1	HT115	136	0	
2025-12-10	JU1793	1	pos-1	263	8	
2025-12-10	JU2466	1	pos-1	252	220	
2025-12-10	wsz197	1	pos-1	290	1	
2025-12-10	wsz198	1	pos-1	347	0	
2025-12-10	wsz200	1	pos-1	313	110	
2025-12-10	wsz202	1	pos-1	337	0	